SensorType,hart,time
HRMLED RED,30.0,2017-05-13 23:38:47.280
HRMLED RED,55.0,2017-05-13 23:38:47.288
HRMLED RED,28.0,2017-05-13 23:38:47.298
HRMLED RED,54.0,2017-05-13 23:38:47.308
HRMLED RED,37.0,2017-05-13 23:38:47.319
HRMLED RED,27.0,2017-05-13 23:38:47.328
HRMLED RED,39.0,2017-05-13 23:38:47.339
HRMLED RED,32.0,2017-05-13 23:38:47.349
HRMLED RED,33.0,2017-05-13 23:38:47.359
HRMLED RED,41.0,2017-05-13 23:38:47.374
HRMLED RED,26.0,2017-05-13 23:38:47.380
HRMLED RED,55.0,2017-05-13 23:38:47.396
HRMLED RED,35.0,2017-05-13 23:38:47.402
HRMLED RED,36.0,2017-05-13 23:38:47.413
HRMLED RED,45.0,2017-05-13 23:38:47.429
HRMLED RED,22.0,2017-05-13 23:38:47.431
HRMLED RED,40.0,2017-05-13 23:38:47.447
HRMLED RED,33.0,2017-05-13 23:38:47.451
HRMLED RED,33.0,2017-05-13 23:38:47.460
HRMLED RED,38.0,2017-05-13 23:38:47.473
HRMLED RED,24.0,2017-05-13 23:38:47.480
HRMLED RED,31.0,2017-05-13 23:38:47.490
HRMLED RED,54.0,2017-05-13 23:38:47.500
HRMLED RED,23.0,2017-05-13 23:38:47.511
HRMLED RED,58.0,2017-05-13 23:38:47.524
HRMLED RED,24.0,2017-05-13 23:38:47.530
HRMLED RED,54.0,2017-05-13 23:38:47.541
HRMLED RED,35.0,2017-05-13 23:38:47.551
HRMLED RED,28.0,2017-05-13 23:38:47.562
HRMLED RED,34.0,2017-05-13 23:38:47.582
HRMLED RED,36.0,2017-05-13 23:38:47.584
HRMLED RED,29.0,2017-05-13 23:38:47.598
HRMLED RED,45.0,2017-05-13 23:38:47.602
HRMLED RED,23.0,2017-05-13 23:38:47.617
HRMLED RED,54.0,2017-05-13 23:38:47.629
HRMLED RED,39.0,2017-05-13 23:38:47.631
HRMLED RED,32.0,2017-05-13 23:38:47.641
HRMLED RED,55.0,2017-05-13 23:38:47.652
HRMLED RED,34.0,2017-05-13 23:38:47.661
HRMLED RED,44.0,2017-05-13 23:38:47.674
HRMLED RED,32.0,2017-05-13 23:38:47.684
HRMLED RED,34.0,2017-05-13 23:38:47.694
HRMLED RED,38.0,2017-05-13 23:38:47.704
